"","year","county","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude"
"1","2011","Butte",0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863
"2","2012","Butte",0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833
"3","2013","Butte",0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047
"4","2014","Butte",0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047
"5","2015","Butte",0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047
"6","2016","Butte",0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047
"7","2017","Butte",0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047
