"Students from Ireland and Northern Ireland Enrolled in Third Level"
"Institutions (Number) by Type of Institution, County of Origin and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","All counties (2)",1397,1391,1470,1647,1586,1128,1020,961,..,..,..,..,..,..,..,..,..,..
" ","Carlow",22,28,19,13,5,5,6,8,..,..,..,..,..,..,..,..,..,..
" ","Dublin",547,544,607,748,714,562,519,527,..,..,..,..,..,..,..,..,..,..
" ","Kildare",77,91,107,130,123,103,101,85,..,..,..,..,..,..,..,..,..,..
" ","Kilkenny",46,44,38,43,38,17,10,7,..,..,..,..,..,..,..,..,..,..
" ","Laois",24,27,28,29,25,16,11,11,..,..,..,..,..,..,..,..,..,..
" ","Longford",26,23,23,19,23,18,21,20,..,..,..,..,..,..,..,..,..,..
" ","Louth",32,45,44,46,48,34,27,20,..,..,..,..,..,..,..,..,..,..
" ","Meath",76,57,87,84,86,62,57,41,..,..,..,..,..,..,..,..,..,..
" ","Offaly",22,23,23,26,30,17,16,18,..,..,..,..,..,..,..,..,..,..
" ","Westmeath",24,24,28,40,42,18,19,23,..,..,..,..,..,..,..,..,..,..
" ","Wexford",39,41,41,43,46,27,23,16,..,..,..,..,..,..,..,..,..,..
" ","Wicklow",64,58,64,70,75,60,47,32,..,..,..,..,..,..,..,..,..,..
" ","Clare",17,19,9,6,5,10,3,6,..,..,..,..,..,..,..,..,..,..
" ","Cork",38,37,33,30,25,12,13,12,..,..,..,..,..,..,..,..,..,..
" ","Kerry",23,18,25,20,18,8,9,9,..,..,..,..,..,..,..,..,..,..
" ","Limerick",30,20,19,10,9,5,4,6,..,..,..,..,..,..,..,..,..,..
" ","Tipperary",25,29,26,23,26,14,13,10,..,..,..,..,..,..,..,..,..,..
" ","Waterford",13,7,8,11,13,8,9,7,..,..,..,..,..,..,..,..,..,..
" ","Galway",51,57,40,44,37,14,18,13,..,..,..,..,..,..,..,..,..,..
" ","Leitrim",2,9,11,11,12,7,11,11,..,..,..,..,..,..,..,..,..,..
" ","Mayo",51,56,54,52,53,24,22,14,..,..,..,..,..,..,..,..,..,..
" ","Roscommon",21,18,15,19,15,10,9,6,..,..,..,..,..,..,..,..,..,..
" ","Sligo",12,10,11,9,12,10,8,8,..,..,..,..,..,..,..,..,..,..
" ","Cavan",27,25,22,29,19,13,8,11,..,..,..,..,..,..,..,..,..,..
" ","Donegal",26,27,20,31,29,20,12,13,..,..,..,..,..,..,..,..,..,..
" ","Monaghan",34,32,39,36,32,15,10,11,..,..,..,..,..,..,..,..,..,..
" ","Antrim",3,1,..,3,..,2,2,2,..,..,..,..,..,..,..,..,..,..
" ","Armagh",7,..,8,2,5,3,2,4,..,..,..,..,..,..,..,..,..,..
" ","Derry",6,7,11,5,8,7,5,4,..,..,..,..,..,..,..,..,..,..
" ","Down",5,7,6,9,10,6,5,3,..,..,..,..,..,..,..,..,..,..
" ","Fermanagh",3,1,2,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Tyrone",4,6,2,6,3,1,..,3,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Other third level education institutions aided by the Department of Education and Skills (2)"
" ","All counties (2)",..,..,..,..,..,..,..,..,2149,2322,2601,2736,2610,2661,2834,2977,3079,2532
" ","Carlow",..,..,..,..,..,..,..,..,20,11,18,29,32,21,32,23,26,20
" ","Dublin",..,..,..,..,..,..,..,..,1224,1535,689,596,1575,1543,1767,1854,1938,1739
" ","Kildare",..,..,..,..,..,..,..,..,174,165,102,78,152,111,150,168,173,149
" ","Kilkenny",..,..,..,..,..,..,..,..,13,7,20,17,22,17,17,24,19,20
" ","Laois",..,..,..,..,..,..,..,..,18,17,16,18,25,17,32,30,32,24
" ","Longford",..,..,..,..,..,..,..,..,16,16,9,12,20,15,18,20,19,13
" ","Louth",..,..,..,..,..,..,..,..,50,35,31,37,62,48,81,80,88,65
" ","Meath",..,..,..,..,..,..,..,..,107,89,52,52,131,110,143,149,162,136
" ","Offaly",..,..,..,..,..,..,..,..,22,23,23,21,21,12,27,24,20,11
" ","Westmeath",..,..,..,..,..,..,..,..,31,26,31,30,30,19,37,39,31,17
" ","Wexford",..,..,..,..,..,..,..,..,36,18,34,41,63,65,69,68,71,47
" ","Wicklow",..,..,..,..,..,..,..,..,105,91,59,62,145,159,148,151,138,119
" ","Clare",..,..,..,..,..,..,..,..,13,6,10,12,8,3,5,6,7,5
" ","Cork",..,..,..,..,..,..,..,..,33,17,30,32,25,9,24,22,29,12
" ","Kerry",..,..,..,..,..,..,..,..,12,5,5,3,10,7,10,14,13,9
" ","Limerick",..,..,..,..,..,..,..,..,9,6,13,14,8,1,5,4,8,4
" ","Tipperary",..,..,..,..,..,..,..,..,14,11,14,9,9,7,17,22,22,10
" ","Waterford",..,..,..,..,..,..,..,..,16,6,10,9,7,8,12,13,18,9
" ","Galway",..,..,..,..,..,..,..,..,32,17,38,36,34,25,41,48,38,28
" ","Leitrim",..,..,..,..,..,..,..,..,11,11,9,10,12,7,11,13,12,7
" ","Mayo",..,..,..,..,..,..,..,..,26,21,19,23,24,22,34,30,30,14
" ","Roscommon",..,..,..,..,..,..,..,..,19,7,16,22,21,12,19,23,17,9
" ","Sligo",..,..,..,..,..,..,..,..,13,9,16,11,14,11,11,20,11,9
" ","Cavan",..,..,..,..,..,..,..,..,30,20,16,19,29,25,30,29,27,16
" ","Donegal",..,..,..,..,..,..,..,..,42,29,28,29,24,21,29,27,25,15
" ","Monaghan",..,..,..,..,..,..,..,..,25,17,22,27,23,19,26,32,30,21
" ","Antrim",..,..,..,..,..,..,..,..,6,1,7,4,3,..,3,5,9,2
" ","Armagh",..,..,..,..,..,..,..,..,11,3,3,5,10,2,2,3,1,..
" ","Derry",..,..,..,..,..,..,..,..,9,5,8,5,26,16,7,7,4,..
" ","Down",..,..,..,..,..,..,..,..,9,2,13,8,5,1,4,4,2,..
" ","Fermanagh",..,..,..,..,..,..,..,..,..,1,2,2,9,1,4,6,2,2
" ","Tyrone",..,..,..,..,..,..,..,..,3,3,5,4,1,..,4,4,1,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,92,1233,1459,30,327,15,15,56,..
"Third level education institutions aided by other Departments (Justice/Defence)"
" ","All counties (2)",1209,1191,964,1141,1382,1319,1432,2066,2445,2030,970,183,54,57,58,19,..,45
" ","Carlow",15,16,12,16,22,18,21,23,7,4,16,1,..,..,..,..,..,..
" ","Dublin",242,237,172,196,230,230,286,443,745,640,186,52,17,12,..,4,..,..
" ","Kildare",63,62,58,60,82,75,63,103,33,15,55,7,4,1,..,1,..,..
" ","Kilkenny",33,32,16,32,33,23,32,39,45,40,17,2,1,1,..,1,..,..
" ","Laois",23,22,15,23,26,21,31,41,59,48,13,2,1,1,..,..,..,..
" ","Longford",11,10,11,11,19,16,11,19,7,4,14,0,..,..,..,1,..,..
" ","Louth",30,22,18,19,26,29,37,45,69,56,24,6,2,1,..,2,..,..
" ","Meath",30,36,30,31,51,40,40,63,25,6,25,..,..,..,..,1,..,..
" ","Offaly",23,23,21,26,34,35,30,47,36,21,25,..,..,..,..,..,..,..
" ","Westmeath",18,21,19,19,27,34,41,46,39,27,17,4,3,2,..,1,..,..
" ","Wexford",47,46,36,40,42,34,39,59,61,43,29,3,..,..,..,1,..,..
" ","Wicklow",29,25,12,20,35,31,26,40,8,4,20,1,..,..,..,..,..,..
" ","Clare",47,50,23,28,47,53,53,63,28,31,36,2,..,..,..,..,..,..
" ","Cork",138,129,129,169,171,167,176,283,322,280,112,17,8,4,..,4,..,..
" ","Kerry",45,48,42,45,58,61,64,80,75,44,22,2,..,..,..,..,..,..
" ","Limerick",48,47,44,54,60,64,69,83,200,178,50,17,4,3,..,..,..,..
" ","Tipperary",68,64,44,59,72,78,93,125,65,45,49,5,3,1,..,..,..,..
" ","Waterford",22,28,22,25,33,27,21,41,47,42,21,5,1,..,..,..,..,..
" ","Galway",64,70,75,83,94,88,76,80,204,213,64,26,6,5,..,..,..,..
" ","Leitrim",17,14,8,13,20,15,15,20,3,1,5,..,..,..,..,..,..,..
" ","Mayo",54,60,48,47,66,65,66,107,125,101,53,12,1,..,..,..,..,..
" ","Roscommon",57,45,38,36,33,27,40,64,21,13,38,..,..,..,..,1,..,..
" ","Sligo",22,27,20,27,30,32,40,50,77,45,11,3,1,1,..,..,..,..
" ","Cavan",9,9,17,16,11,13,14,22,47,44,25,6,..,..,..,..,..,..
" ","Donegal",41,38,22,30,43,28,31,60,68,53,29,5,1,..,..,..,..,..
" ","Monaghan",11,6,7,10,14,15,12,14,10,11,6,..,..,..,..,..,..,..
" ","Antrim",..,..,..,..,1,..,1,1,6,8,1,2,1,1,..,..,..,..
" ","Armagh",..,..,..,1,..,..,2,2,1,1,1,1,..,..,..,..,..,..
" ","Derry",..,..,1,1,..,..,..,1,3,4,..,1,..,..,..,1,..,..
" ","Down",..,..,0,0,..,..,1,..,6,3,1,..,..,..,..,1,..,..
" ","Fermanagh",2,2,1,3,2,..,1,2,2,4,4,1,..,..,..,..,..,..
" ","Tyrone",..,2,3,1,..,..,..,..,1,1,1,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,24,58,..,..,45
"Non-aided third level education institutions"
" ","All counties (2)",2770,2443,3689,4224,4430,4846,3894,4292,3819,2019,5457,4486,2801,2203,2433,3898,4941,2937
" ","Carlow",50,49,70,74,94,106,118,121,33,139,132,164,12,157,165,173,170,36
" ","Dublin",1303,763,1618,1974,1977,2353,1783,1933,1756,670,1443,1437,1444,172,702,997,1043,846
" ","Kildare",88,87,212,222,208,250,184,196,122,127,132,138,31,115,157,234,232,120
" ","Kilkenny",48,73,75,80,103,93,93,117,71,110,112,149,13,127,138,126,164,62
" ","Laois",32,27,40,49,53,58,58,74,38,80,76,119,13,74,87,97,95,24
" ","Longford",21,11,16,16,21,33,20,16,13,9,16,20,12,11,22,17,25,14
" ","Louth",30,37,66,96,85,82,73,92,76,27,46,43,25,20,33,67,90,40
" ","Meath",51,58,123,109,156,196,135,145,127,45,59,40,34,23,56,110,106,122
" ","Offaly",25,24,30,42,55,72,46,48,36,34,23,34,20,26,35,48,67,19
" ","Westmeath",17,29,33,47,51,79,60,78,45,26,37,36,25,22,41,102,69,55
" ","Wexford",50,43,87,88,84,103,70,97,69,75,92,77,24,58,73,99,136,62
" ","Wicklow",50,60,125,149,179,187,138,150,104,61,59,60,30,46,75,113,120,85
" ","Clare",79,101,77,63,74,70,55,76,66,43,35,28,32,14,28,34,59,35
" ","Cork",256,321,305,343,298,239,256,294,288,105,139,72,88,30,79,150,343,153
" ","Kerry",30,52,55,68,78,86,66,75,73,44,50,33,28,16,42,59,126,35
" ","Limerick",211,218,194,180,182,179,114,100,100,52,92,45,78,23,49,98,127,82
" ","Tipperary",85,97,116,108,106,114,121,125,115,85,114,113,39,92,108,113,149,52
" ","Waterford",34,34,48,98,42,49,45,45,43,23,28,29,16,22,36,40,83,21
" ","Galway",96,130,114,139,149,159,142,151,132,89,101,71,51,27,93,91,211,69
" ","Leitrim",17,8,14,10,22,23,15,18,19,13,13,16,4,5,11,14,28,7
" ","Mayo",64,71,52,63,82,75,66,99,82,47,56,56,38,18,39,46,100,37
" ","Roscommon",27,31,27,24,24,37,29,49,40,26,26,24,21,16,34,31,58,24
" ","Sligo",25,24,28,32,32,35,43,37,45,17,28,18,14,6,15,18,31,24
" ","Cavan",18,11,23,33,40,43,35,40,32,19,17,22,16,17,31,29,51,15
" ","Donegal",23,28,43,45,56,52,50,43,44,20,31,29,22,8,21,25,63,20
" ","Monaghan",9,17,27,26,33,42,32,31,28,13,11,13,10,7,17,26,54,19
" ","Antrim",6,10,11,9,11,4,8,12,13,9,7,6,4,1,1,5,2,3
" ","Armagh",3,3,1,1,1,5,5,6,6,3,..,1,1,1,2,1,1,3
" ","Derry",2,3,4,6,4,6,8,3,5,6,3,4,6,..,2,3,2,5
" ","Down",13,14,12,16,9,7,18,8,14,1,7,3,3,2,5,7,6,8
" ","Fermanagh",2,2,5,6,4,3,3,12,6,1,2,..,..,1,1,4,1,8
" ","Tyrone",5,7,4,8,5,6,5,1,5,..,2,3,2,..,3,2,3,3
" ","Origin unknown",..,..,34,..,112,..,..,..,173,..,2468,1583,645,1046,232,919,1126,829

"Year refers to school year end, i.e 2007 refers to 2006/2007 school "
"year.  "
" "
"Due to inconsistencies in the data returned by some of the surveyed "
"third level institutions, totals on various tables may not match.  "
" "
"Other third level institutions aided by the Department of Education "
"and Skills(1) Includes the following education institutions: Colaiste "
"Mhuire, Marino Institute of Education, Griffith Avenue, Dublin 9. "
"Church of Ireland College of Education, 96 Upper Rathmines Road, "
"Dublin 6. Froebel College of Education,Blackrock, Co. Dublin. St. "
"Angela's College, Lough Gill, Sligo. St. Catherine's College of "
"Education for Home Economics, Sion Hill, Blackrock, Co Dublin. "
"National College of Ireland, Mayor Street, Dublin 1 Pontifical "
"College, Maynooth, Co. Kildare  "
" "

