"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Slovakia",..,..,..,..,..,6,9,12,..,..,..,..,..,..,..,..,..,..
" ","United States",1453,1642,1624,1806,1866,2029,1846,2292,..,..,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",201,247,294,343,366,412,409,400,..,..,..,..,..,..,..,..,..,..
" ","Asia (1)",737,753,808,1074,1365,1670,1834,2024,..,..,..,..,..,..,..,..,..,..
" ","Australasia (1)",39,50,40,36,34,44,48,42,..,..,..,..,..,..,..,..,..,..
" ","America (1)",25,39,49,57,58,68,60,73,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",64159,65982,68966,71092,73182,74105,75996,76904,..,..,..,..,..,..,..,..,..,..
" ","Other Europe (1)",134,177,234,285,338,268,247,280,..,..,..,..,..,..,..,..,..,..
