Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Dublin,All counties (2),45270.0,46541.0,48296.0,49890.0,50833.0,50393.0,50569.0,51093.0,51896.0,54324.0,58729.0,60681.0,62972.0,63417.0,64177.0,64864.0,65904.0,65892.0,0,0,0
Dublin,Carlow,581.0,604.0,602.0,599.0,597.0,707.0,596.0,567.0,566.0,586.0,672.0,714.0,724.0,703.0,653.0,633.0,642.0,637.0,0,0,0
Dublin,Dublin,21747.0,22957.0,23572.0,25058.0,25314.0,24856.0,25819.0,26370.0,25967.0,28241.0,29827.0,30583.0,32877.0,33070.0,33104.0,33004.0,33745.0,33758.0,0,0,0
Dublin,Kildare,2348.0,2416.0,2517.0,2691.0,2846.0,2836.0,2912.0,2920.0,2837.0,2914.0,3099.0,3287.0,3419.0,3467.0,3587.0,3678.0,3784.0,3821.0,0,0,0
Dublin,Kilkenny,837.0,813.0,861.0,898.0,878.0,813.0,795.0,796.0,814.0,839.0,951.0,981.0,1024.0,1033.0,1031.0,1023.0,1078.0,1119.0,0,0,0
Dublin,Laois,602.0,617.0,655.0,692.0,714.0,689.0,701.0,716.0,721.0,741.0,703.0,705.0,699.0,714.0,760.0,743.0,732.0,722.0,0,0,0
Dublin,Longford,415.0,402.0,417.0,428.0,457.0,489.0,438.0,448.0,457.0,488.0,486.0,491.0,510.0,535.0,542.0,548.0,521.0,499.0,0,0,0
Dublin,Louth,1011.0,1005.0,1098.0,1151.0,1208.0,1177.0,1209.0,1244.0,1296.0,1313.0,1416.0,1462.0,1581.0,1632.0,1687.0,1685.0,1775.0,1808.0,0,0,0
Dublin,Meath,2138.0,2176.0,2331.0,2474.0,2708.0,2635.0,2668.0,2724.0,2738.0,2783.0,2943.0,3076.0,3373.0,3505.0,3603.0,3621.0,3828.0,3871.0,0,0,0
Dublin,Offaly,651.0,605.0,602.0,587.0,589.0,561.0,534.0,519.0,567.0,570.0,609.0,596.0,604.0,607.0,636.0,641.0,650.0,667.0,0,0,0
Dublin,Westmeath,902.0,847.0,889.0,867.0,855.0,800.0,787.0,774.0,790.0,833.0,918.0,965.0,1035.0,1010.0,1017.0,1050.0,1068.0,1065.0,0,0,0
