Study_Mode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Institute
Part-time Enrolments to Third Level Courses (Number),3148,3244,3482,3187,3509,3344,2935,0,2338,1896,1836,1953,2106,2264,2510,2557,2510,2658,Cork Institute of Technology
Entrants to Third Level Courses (Number),1921,1988,2022,1910,1652,1710,1627,1527,1823,1851,1832,1611,1743,1786,1733,1943,1978,2018,Cork Institute of Technology
Full-time Enrolments to Third Level Courses (Number),2583,2355,2585,2624,3111,3072,3214,3287,3445,3732,4148,4353,4210,4178,4146,4389,4387,4323,Dundalk Institute of Technology
Part-time Enrolments to Third Level Courses (Number),403,568,499,395,719,735,615,0,596,447,380,307,295,440,421,397,612,654,Dundalk Institute of Technology
Entrants to Third Level Courses (Number),969,935,903,1018,1151,1029,1166,1377,1253,1249,1326,1300,1260,1203,1190,1342,1361,1176,Dundalk Institute of Technology
Full-time Enrolments to Third Level Courses (Number),4323,4376,4436,4563,4983,4338,4672,4794,4847,4820,5169,5517,5468,5024,5202,5338,5476,5487,Galway - Mayo Institute of Technology
Part-time Enrolments to Third Level Courses (Number),806,698,851,1090,1108,1136,907,0,1041,957,1195,973,915,1032,699,864,951,895,Galway - Mayo Institute of Technology
Entrants to Third Level Courses (Number),1552,1517,1545,1516,1786,1366,1505,1678,1712,1627,1809,1929,1817,1570,1603,1762,1754,1680,Galway - Mayo Institute of Technology
Full-time Enrolments to Third Level Courses (Number),1851,1951,1919,1927,2041,1891,2069,2120,1973,2286,2549,2568,2478,2634,2664,2904,2961,2977,Letterkenny Institute of Technology
Part-time Enrolments to Third Level Courses (Number),285,251,308,274,124,119,264,0,134,400,437,401,309,512,564,683,859,876,Letterkenny Institute of Technology
Entrants to Third Level Courses (Number),879,843,870,731,771,704,754,750,776,833,870,751,777,891,861,978,1018,960,Letterkenny Institute of Technology
Full-time Enrolments to Third Level Courses (Number),3231,3436,3464,3602,3639,3627,3855,3581,3260,3673,4042,4125,4724,4936,4969,5024,5192,5003,Limerick Institute of Technology
Part-time Enrolments to Third Level Courses (Number),1495,1755,1136,904,794,152,370,0,184,318,767,859,871,735,921,1051,907,929,Limerick Institute of Technology
Entrants to Third Level Courses (Number),1185,1074,1035,1155,1214,1187,1359,1072,943,1231,1335,1250,1334,1387,1489,1543,1505,1470,Limerick Institute of Technology
Full-time Enrolments to Third Level Courses (Number),2959,3017,3310,3441,3340,3472,3706,3604,3354,3438,3754,3855,3783,3804,3823,3822,3742,3630,"Institute of Technology, Sligo"
Part-time Enrolments to Third Level Courses (Number),212,513,441,400,454,465,603,0,1130,335,304,487,572,327,138,151,78,68,"Institute of Technology, Sligo"
Entrants to Third Level Courses (Number),1113,1019,1077,1165,1030,1197,1146,1083,1018,1196,1199,1203,1138,1229,1112,1037,1116,1044,"Institute of Technology, Sligo"
Full-time Enrolments to Third Level Courses (Number),2156,2465,2364,2297,2507,2364,2048,2116,1899,2053,2420,2809,2919,2977,2980,2884,2898,2832,"Institute of Technology, Tallaght"
Part-time Enrolments to Third Level Courses (Number),1565,1598,1563,1371,738,693,793,0,1422,1492,1485,1329,1119,1370,1741,2201,2122,2177,"Institute of Technology, Tallaght"
Entrants to Third Level Courses (Number),868,940,787,882,904,678,642,708,605,746,916,1014,928,814,808,807,842,804,"Institute of Technology, Tallaght"
Full-time Enrolments to Third Level Courses (Number),2229,2346,2396,2422,2485,2477,2318,2337,1891,2000,2262,2399,2534,2577,2537,2830,2652,2586,"Institute of Technology, Tralee"
Part-time Enrolments to Third Level Courses (Number),604,257,515,197,205,321,231,0,331,405,310,312,345,316,278,172,238,252,"Institute of Technology, Tralee"
Entrants to Third Level Courses (Number),951,1035,988,772,813,716,675,642,519,621,775,832,880,865,783,833,791,752,"Institute of Technology, Tralee"
Full-time Enrolments to Third Level Courses (Number),5280,5443,5542,5711,6062,5598,5931,6007,6110,6270,6376,6580,6620,6837,6968,6826,6453,6313,Waterford Institute of Technology
Part-time Enrolments to Third Level Courses (Number),1351,1400,1252,2430,2460,1511,1145,0,1353,1602,1367,1494,1323,1403,1232,1154,1339,1237,Waterford Institute of Technology
Entrants to Third Level Courses (Number),1869,1918,1766,2042,2020,1819,1880,1842,1738,1822,1846,2013,1944,2045,2009,1844,1906,1784,Waterford Institute of Technology
