"","year","county","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude"
"1","2011","San Francisco",0.359776536312849,4.04469273743017,30.9541310541311,29.002849002849,0.0277032967032967,25.6263736263736,9.525,36.675,18.2833333333333,16.9,37.765946,-122.399044
"2","2012","San Francisco",0.497084548104956,5.72594752186589,25.9087323943662,24.0422535211268,0.0289553072625698,26.7597765363128,8.14473684210526,32.3859649122807,16.3559322033898,15.1694915254237,37.765946,-122.399044
"3","2013","San Francisco",0.509065155807365,5.79320113314448,26.8055865921788,24.891061452514,0.0263011049723757,24.3618784530387,10.0736543909348,38.7733711048159,17.21875,16,37.765946,-122.399044
"4","2014","San Francisco",0.476923076923077,5.43019943019943,24.3307479224377,22.5263157894737,0.0279116022099448,25.9447513812155,7.63927576601671,30.7688022284123,16.0333333333333,14.8666666666667,37.765946,-122.399044
"5","2015","San Francisco",0.511111111111111,5.85,24.1953038674033,22.4198895027624,0.028621546961326,26.5580110497238,7.57591036414566,29.9859943977591,18.0666666666667,16.7333333333333,37.765946,-122.399044
"6","2016","San Francisco",0.483286908077994,5.58774373259053,21.8608450704225,20.2225352112676,0.0284517906336088,26.3415977961433,7.58333333333333,31.1005747126437,16.3333333333333,15.0333333333333,37.765946,-122.399044
"7","2017","San Francisco",0.502005730659026,5.76504297994269,23.8421052631579,22.1024930747922,0.0287086834733894,26.5602240896359,9.68016759776536,36.8240223463687,20.9,19.1333333333333,37.765946,-122.399044
